Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A6451,R550    ,Cotisations à l  U.R.S.S.A.F.,E,692355,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A64168,R550    ,Autres emplois aidés,E,5252,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A6414,R550    ,Personnel rémunéré à la vacation,E,2121,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A64131,R550    ,Rémunérations du personnel non titulaire,E,442380,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A64118,R550    ,Autres indemnités,E,610848,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A64113,R550    ,NBI,E,41410,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A64112,R550    ,Supplément famillial de traitement et indemnité de résidence,E,30300,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A64111,R550    ,Rémunération principale,E,2808932,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A6336,R550    ,Cotisations au C.N.F.P.T. et au centre de gestion de la fonction publique territoriale,E,4141,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A6251,R550    ,Voyages. déplacements et missions,E,9900,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C016,,,A62268 ,R551    ,Autres honoraires. conseils....,E,115000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C015,,,A6747,R5471   ,Remises gracieuses,E,10000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C015,,,A6541,R541    ,Créances admises en non-valeur,E,30000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C015,,,A6515,R5471   ,Allocations RMI (versement aux organismes payeurs),E,10000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C014,,,A7398,R01     ,Autres reversements,E,100000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C014,,,A73926 ,R01     ,Prélévements au titre des fonds de péréquation fondés sur les D.M.T.O,E,32933000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C014,,,A73914,R01     ,Prélèvement au titre du fonds de péréquation de la cotisation sur la valeur ajoutée des entreprises,E,198000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6488,R0201   ,Autres charges de personnel,E,1783736,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6475,R0202   ,Médecine de travail. pharmacie,E,44163,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6475,R0201   ,Médecine de travail. pharmacie,E,341566,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6474,R0202   ,Versements aux oeuvres sociales,E,1080600,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6456,R0201   ,Versements au F.N.C. du supplément familial,E,446192,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R90     ,Cotisations aux A.S.S.E.D.I.C.,E,69690,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R80     ,Cotisations aux A.S.S.E.D.I.C.,E,7272,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R738    ,Cotisations aux A.S.S.E.D.I.C.,E,18180,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R70     ,Cotisations aux A.S.S.E.D.I.C.,E,38380,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R621    ,Cotisations aux A.S.S.E.D.I.C.,E,43935,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R52     ,Cotisations aux A.S.S.E.D.I.C.,E,48480,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R50     ,Cotisations aux A.S.S.E.D.I.C.,E,1320483,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R40     ,Cotisations aux A.S.S.E.D.I.C.,E,97970,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R30     ,Cotisations aux A.S.S.E.D.I.C.,E,85850,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R221    ,Cotisations aux A.S.S.E.D.I.C.,E,220180,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R20     ,Cotisations aux A.S.S.E.D.I.C.,E,19695,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R041    ,Cotisations aux A.S.S.E.D.I.C.,E,11918,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6454,R0201   ,Cotisations aux A.S.S.E.D.I.C.,E,246440,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R90     ,Cotisations aux caisses de retraite,E,816080,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R80     ,Cotisations aux caisses de retraite,E,222604,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R738    ,Cotisations aux caisses de retraite,E,40705,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R70     ,Cotisations aux caisses de retraite,E,804970,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R621    ,Cotisations aux caisses de retraite,E,4469250,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R52     ,Cotisations aux caisses de retraite,E,722150,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R50     ,Cotisations aux caisses de retraite,E,7830317,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R40     ,Cotisations aux caisses de retraite,E,2114940,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R30     ,Cotisations aux caisses de retraite,E,2285630,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,F,OR,C012,,,A6453,R221    ,Cotisations aux caisses de retraite,E,5844870,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
